task;model_name;train_epochs;train_batch;train_lr;train_maxlen;precision;use_lora;eval_style;avg_val_loss;accuracy;mcc;f1;training_time;learning_rate_scheduler_type;warmup_steps;num_fewshot;timestamp
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.0383169651031494;0.4757281553398058;0.2328675479649717;0.4360168957256336;0h:5m:28s;linear;1.0;na;2025_10_19_14_32_58
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.2649271488189695;0.4368932038834951;0.1610489137103936;0.4263934541343064;0h:5m:2s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.1066441535949707;0.4563106796116505;0.2196378279758451;0.4267190666515276;0h:5m:6s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.6704778671264648;0.3106796116504854;-0.0303207680301657;0.3014835892263077;0h:5m:3s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.229628324508667;0.4854368932038835;0.3023280250144298;0.4733703190013869;0h:5m:2s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.3382774591445925;0.4077669902912621;0.1564326512658782;0.370427490394738;0h:5m:28s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.4784283638000488;0.3203883495145631;0.0208629918403399;0.2843043085694575;0h:5m:29s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.2151768207550049;0.5533980582524272;0.3285015354357799;0.5308439133681853;0h:4m:36s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.146641969680786;0.5048543689320388;0.2754442081498551;0.4873473804744543;0h:4m:36s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.1678764820098877;0.4951456310679611;0.2604692644025574;0.4916151809355693;0h:5m:3s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;2;2;2e-05;1024;fp16;True;standard;1.2955960035324097;0.4563106796116505;0.2505151615637772;0.4342932505503646;0h:4m:15s;linear;1.0;na;2025_10_19_14_52_46
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.1952966451644895;0.3980582524271844;0.1294643545197645;0.3792530394472141;0h:19m:1s;linear;1.0;na;2025_10_19_16_33_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.157641887664795;0.5436893203883495;0.3108559238633781;0.5405762500156375;0h:20m:29s;linear;1.0;na;2025_10_19_16_33_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.190324068069458;0.4174757281553398;0.1957361904468288;0.383158829874992;0h:18m:55s;linear;1.0;na;2025_10_19_16_33_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.338786005973816;0.3786407766990291;0.0844085811896708;0.3561488673139159;0h:18m:15s;linear;1.0;na;2025_10_19_16_33_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.1716432571411133;0.5242718446601942;0.2892629780144634;0.5189467013436455;0h:17m:37s;linear;1.0;na;2025_10_19_16_33_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.261752009391785;0.4077669902912621;0.1144074497657907;0.3901350295725923;0h:18m:53s;linear;1.0;na;2025_10_19_16_33_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.3371020555496216;0.4368932038834951;0.1642035680713024;0.4069884380356982;0h:18m:39s;linear;1.0;na;2025_10_19_21_04_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.3335014581680298;0.3592233009708738;0.0707928469520039;0.3388388821194135;0h:18m:55s;linear;1.0;na;2025_10_19_21_04_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.225894808769226;0.4466019417475728;0.1722196209374842;0.4398630537728777;0h:18m:29s;linear;1.0;na;2025_10_19_21_04_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.4781842231750488;0.3300970873786408;0.0451561976466304;0.2772678238697656;0h:18m:7s;linear;1.0;na;2025_10_19_21_04_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.2162292003631592;0.4466019417475728;0.2304022773610192;0.4284656323581589;0h:17m:38s;linear;1.0;na;2025_10_19_21_04_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.2606288194656372;0.4563106796116505;0.2408936067370437;0.4333374107899539;0h:18m:56s;linear;1.0;na;2025_10_19_21_04_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.4149173498153689;0.3689320388349514;0.0767650166452606;0.3575416918288661;0h:18m:8s;linear;1.0;na;2025_10_19_21_04_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.223927021026611;0.3592233009708738;0.0610089386422729;0.3518850081956878;0h:18m:7s;linear;1.0;na;2025_10_19_21_04_09
